,Scientific Name,Common Name,Sunlight,Moisture Use,Soil Watering Indicator,Plant Spread,Plant Height,Toxic to Dogs,Toxic to Cats,Plant Habit,Type,Indoor Flowering,Hanging,Bloom Period,Humidity,Air Purifying,Indoor Height,Ph Soil,Bloom Description
rubber_plant,Ficus elastica,Rubber Plant,Part shade,Medium,Dry,50.00 to 100.00 feet,50.00 to 100.00 feet,No,No,Tree,Broadleaf evergreen,Rarely,No,N/A,High,Yes,2.00 to 10.00 feet,"Mildly Acidic, Neutral",N/A
ti_plant,Cordyline fruticosa,Ti Plant,Part sun to part shade,Medium,Never dry,1.00 to 4.00 feet,3.00 to 6 feet,Yes,Yes,shrub/subshrub/tree,broadleaf evergreen,No,No,N/A,High,Unknown,3.00 to 8.00 feet,Acidic,N/A
flamingo_flower,Anthurium andraeanum,Flamingo Flower,Part shade,Medium,Nearly dry,0.75 to 1.00 feet,1.00 to 1.50 feet,Yes,Yes,Herb/Forb,Herbaceous perennial,Yes,No,Summer to Early Fall,High,Yes,1.00 to 1.50 feet,Acidic,Yellow
coral_berry,Ardisia crenata ,Coral Berry,Part shade to full shade,Medium,Never dry,4.00 to 5.00 feet,4.00 to 5.00 feet,Unknown,Unknown,Shrub,Broadleaf evergreen,Yes,No,Late Spring to Early Summer,High,Unknown,4.00 to 5.00 feet,"Mildly Acidic, Basic",Red
buddhist_pine,Podocarpus macrophyllus,Buddhist Pine,Full sun to part shade,Medium,Slightly dry,20.00 to 40.00 fee,10.00 to 20.00 feet,Yes,Yes,Tree,Needled evergreen,No,No,N/A,Moderate,Unknown,1.00 to 5.00 feet,"Acidic, Mildly Acidic, Neutrual",N/A
cape_fuchsia,Phygelius x rectus,Cape fuchsia Cherry Ripe,Part shade to full shade,Medium,Never dry,2.00 to 3.00 feet,2.00 to 3.00 feet,No,No,Shrub,Broadleaf evergreen,Yes,Yes,Spring,Moderate,Unknown,2.00 to 3.00 feet,Mildly Acidic,Red
touch_me_not,Impatiens capensis,Touch Me Not,Part shade to full shade,Medium to high,Never dry,1.50 to 2.50 feet,2.00 to 5.00 feet,No,No,Herb/Forb,Annual Perennial,Yes,Yes,Mid Summer to Mid Fall,Moderate,Unknown,1.50 to 2.00 feet,"Acidic, Neutral, Basic",Orange/Orange-Yellow
aloe_vera,Aloe vera,Aloe vera,Full sun to part sun  ,Low,Slightly dry,0.50 to 1.00 feet,1.00 to 2.00 feet,No,No,Cactus/Succulent,Herbaceous perennial,No,No,N/A,Low,Yes,1.00 to 2.00 feet,Neutral,N/A
lucky_bamboo,Dracaena Braunii,Lucky Bamboo,Part Shade,Medium,Slightly dry,0.00 to 0.00 feet,2.00 to 3.00 feet,Yes,Yes,Graminoid,Perennial,No,No,N/A,Moderate,Unknown,2.00 to 3.00 feet,Mildly Acidic,N/A
sweet_alyssum,Lobularia maritima,Sweet Alyssum,Full sun to part sun  ,Medium,Never dry,0.00 to 1.00 feet,0.25 to 0.75 feet,No,No,Herb/Forb,Annual Perennial,Yes,Yes,Mid Spring to Early Summer,,Unknown,0.25 to 0.75 feet,Acidic,White
poinsettia,Euphorbia pulcherrima,Poinsettia,Full sun to part shade,Medium,Never dry,3.00 to 7.00 feet,3.00 to 10.00 feet,Yes,Yes,Shrub,Deciduous shrub,Yes,Yes,Mid Fall to Early Winter,Moderate,Unknown,3.00 to 10.00 feet,Acidic,Red 
,Convallaria majuscula,Lily of the Valley,Part sun to part shade,Medium,Never dry,0.50 to 1.00 feet,0.50 to 1.00 feet,Yes,Yes,Herb/Forb,Herbaceous perennial,Yes,No,Mid Spring to Early Summer,Low,Unknown,0.50 to 1.00 feet,"Acidic, Mildly Acidic, Neutrual",White/Pink 
cape_jasmine,Gardenia jasminoides,Cape Jasmine,Full sun to part shade,Medium,Never dry,0.00 to 0.50 feet,0.00 to 0.50 feet,Yes,Yes,Shrub/Subshrub,Broadleaf evergreen,Yes,Yes,Late Spring to Early Summer,High,Unknown,1.00 to 3.00 feet,Acidic,White 
chrysanthemum,Chrysanthemum × morifolium,Chrysanthemum,Full sun,Medium,Never dry,2.00 to 3.00 feet,1.50 to 2.00 feet,Yes,Yes,Herb/Forb,Herbaceous perennial,Yes,No,Fall to Late Winter,Moderate,Yes,2.00 to 3.00 feet,Acidic,Yellow
areca_palm,Dypsis lutescens,Areca Palm,Part shade,Low,Slightly dry,8.00 to 15.00 feet,12.00 to 30.00 feet,No,No,Tree,Palm/Cycad,Yes,No,Summer,Moderate,Yes,0.50 to 8.00 feet,Acidic,Yellow
transvaal_daisy,Gerbera,Transvaal daisy,Full sun to part shade,Low,Slightly dry,0.50 to 1.50 feet,0.50 to 3.00 feet,No,No,Herb/Forb,Herbaceous perennial,Yes,No,Late Spring to Late Summer,Moderate,Yes,1.00 to 1.50 feet,Neutral,Red/Pink/Orange/Purple/Yellow/White
peppermint,Mentha x piperita,Peppermint,Full sun to part shade,Medium,Never dry,1.00 to 1.5 feet,0.50 to 1.00 feet,No,No,Herb/Forb,Herbaceous perennial,Yes,No,Summer,Moderate,Unknown,1.00 to 2.00 feet,"Acidic, Alkaline, Neutral",Pink
rosemary,Rosmarinus officinalis,Rosemary,Full sun,Medium,Slightly dry,1.50 to 3.00 feet,1.50 to 3.00 feet,No,No,Shurb/Vine,Herbaceous perennial,Yes,Yes,Mid Winter to Mid Spring,Moderate to High,Unknown,3.00 to 4.00 feet,Acidic,Blue
,Jasminum officinale,Jasmine,Full sun to part sun  ,Medium,Slightly dry,3.00 to 15.00 feet,3.00 to 20.00 feet,No,No,Shrub,Vine,Yes,No,Spring to Fall,Moderate,Unknown,2.00 to 10.00 feet,"Acidic, Alkaline, Neutral",White/Pale Pink
,Hedera helix,English Ivy,Part shade to full shade,Medium,Never dry,3.00 to 50.00 feet,20.00 to 80.00 feet,Yes,Yes,"Shrub
",Vine,No,Yes,Fall,High,Yes,0.50 to 6.00 feet,"Acidic, Alkaline, Neutral",White/Green
house_leek,Sempervivum tectorum ,House Leek,Full Sun,Low to medium,Dry,0.50 to 1.00 feet,0.50 to 1.00 feet,No,No,Herb/Forb,Herbaceous perennial,Yes,No,Summer,Moderate,Unknown,0.50 to 1.00 feet,"Acidic, Alkaline, Neutral",Yellow
